"姓名","姓名＋出生年次","關係者姓名","關係者姓名＋出生年次","關係者如何稱呼該人物","關係開始時間","關係結束時間","資料來源"
"張榮味","張榮味1957","張嘉郡","張嘉郡1981","爸爸","1981.0","","https://github.com/ptstaiwan/pts-data"
"張麗善","張麗善1964","張嘉郡","張嘉郡1981","叔叔","1981","","https://github.com/ptstaiwan/pts-data"
"張鎔麒","張鎔麒1987","張嘉郡","張嘉郡1981","弟弟","1981","","https://github.com/ptstaiwan/pts-data"
"張永成","張永成1955","張嘉郡","張嘉郡1981","姑丈","1981","","https://github.com/ptstaiwan/pts-data"
"張啟盟","張啟盟","張嘉郡","張嘉郡1981","叔叔","1981","","https://github.com/ptstaiwan/pts-data"
"曹原彰","曹原彰1948","曹爾忠","曹爾忠1954","叔父","1954","","https://github.com/ptstaiwan/pts-data"
"曾朝榮","曾朝榮1961","莊競程","莊競程1980","舅舅","1980","","https://github.com/ptstaiwan/pts-data"
"許天送","許天送","許淑華","許淑華1975","爸爸","1975","","https://github.com/ptstaiwan/pts-data"
"林進春","林進春1947","陳秀卿","陳秀卿1950","丈夫","","2011.0","https://github.com/ptstaiwan/pts-data"
"陳進丁","陳進丁1946","陳秀寳","陳秀寳1972","爸爸","1972","","https://github.com/ptstaiwan/pts-data"
"陳秋喜","陳秋喜1962","陳泓維","陳泓維1987","爸爸","1987","","https://github.com/ptstaiwan/pts-data"
"陳佳照","陳佳照","陳亭妃","陳亭妃1974","爸爸","1974","","https://github.com/ptstaiwan/pts-data"
"陳明吉","陳明吉1950","陳美雅","陳美雅1970","爸爸","1970","","https://github.com/ptstaiwan/pts-data"
"陳錫坤","陳錫坤","陳超明","陳超明1951","爸爸","1951","","https://github.com/ptstaiwan/pts-data"
"陳建年","陳建年1947","陳瑩","陳瑩1972","爸爸","1972","","https://github.com/ptstaiwan/pts-data"
"楊振添","楊振添1944","陳麗娜","陳麗娜1970","公公","2015.0","","https://github.com/ptstaiwan/pts-data"
"楊敏郎","楊敏郎1967","陳麗娜","陳麗娜1970","丈夫","2015.0","","https://github.com/ptstaiwan/pts-data"
"彭添富","彭添富1951","彭俊豪","彭俊豪1982","爸爸","1982","","https://github.com/ptstaiwan/pts-data"
"何玉枝","何玉枝1960","黃志雄","黃志雄1976","阿姨","1976","","https://github.com/ptstaiwan/pts-data"
